height,width,area,max_row,min_row,mean,median,hw_ratio,burst
15,63,945,151,136,0.6069349792316672,0.3567772414745238,0.23809523809523808,0
22,92,2024,187,165,0.6352320425923809,0.28147410973174714,0.2391304347826087,0
23,74,1702,187,164,0.5977758995515188,0.381986305243393,0.3108108108108108,0
33,47,1551,187,154,0.5003886196922632,0.0,0.7021276595744681,0
21,56,1176,176,155,0.5459513116378437,0.0,0.375,0
26,42,1092,148,122,0.5830359627232846,0.43472949481520184,0.6190476190476191,0
24,57,1368,187,163,0.6696472032597011,0.4145734131585282,0.42105263157894735,0
23,59,1357,148,125,0.5893370696151212,0.3435061186232751,0.3898305084745763,0
23,99,2277,187,164,0.639019224014041,0.3341239801571519,0.23232323232323232,0
40,93,3720,146,106,0.48743308049738726,0.22152547781989088,0.43010752688172044,0
16,59,944,119,103,0.6572161909982643,0.5418484373780718,0.2711864406779661,0
74,203,15022,104,30,0.6346615101342168,0.47683414344782954,0.3645320197044335,0
11,55,605,120,109,0.9362790538862973,0.19510619443598798,0.2,0
15,72,1080,128,113,0.6766175203318663,0.5737980765260797,0.20833333333333334,0
0,0,0,0,0,0.0,0.0,0.0,0
14,79,1106,103,89,0.6642977294551057,0.54387652219663,0.17721518987341772,0
41,894,36654,114,73,0.6961636715892062,0.5562148733970983,0.04586129753914989,0
33,412,13596,113,80,0.936004472479147,0.9550886599799454,0.08009708737864078,0
10,63,630,121,111,0.8043030922238579,0.5365181726510808,0.15873015873015872,0
37,280,10360,122,85,0.7544361328343772,0.5399948367097341,0.13214285714285715,0
25,170,4250,105,80,0.797302266283796,0.8278217303409532,0.14705882352941177,0
42,481,20202,120,78,0.7048525305699105,0.4139509034447359,0.08731808731808732,0
33,571,18843,113,80,0.7708485703274138,0.5579033792742789,0.05779334500875657,0
22,64,1408,94,72,0.6443435145122198,0.2947531723732828,0.34375,0
31,101,3131,101,70,0.6285930027047183,0.29307984322145003,0.3069306930693069,0
32,142,4544,74,42,0.543233811987422,0.32953427317030715,0.22535211267605634,0
23,161,3703,119,96,0.6193199800381337,0.2406802508845553,0.14285714285714285,0
11,68,748,126,115,0.7183814446800711,0.6216173941531445,0.16176470588235295,0
18,64,1152,104,86,0.7590557187373005,0.45192685660460097,0.28125,0
22,141,3102,105,83,0.5924428989593618,0.3623849125220912,0.15602836879432624,0
13,56,728,128,115,0.7063027238683792,0.5065195757655662,0.23214285714285715,0
14,60,840,129,115,0.6811698656099875,0.4555148436141342,0.23333333333333334,0
70,162,11340,102,32,0.525756396050818,0.22989917332628262,0.43209876543209874,0
24,102,2448,104,80,0.6305856406928857,0.4201048253601831,0.23529411764705882,0
12,78,936,127,115,0.7833167511248126,0.5823920980268428,0.15384615384615385,0
15,73,1095,132,117,0.6402378286687348,0.5755628508862735,0.2054794520547945,0
15,80,1200,130,115,0.7898741434211101,0.5910370178907541,0.1875,0
24,107,2568,104,80,0.687319778724437,0.5744884833058774,0.22429906542056074,0
12,58,696,121,109,0.8337598157674084,0.44582126044065085,0.20689655172413793,0
76,471,35796,106,30,0.6210272013100032,0.4572536741908343,0.1613588110403397,0
21,67,1407,130,109,0.7626196054089657,0.6310769416801932,0.31343283582089554,0
18,92,1656,131,113,0.6245616818845878,0.5173499568978276,0.1956521739130435,0
22,98,2156,131,109,0.8018058511046581,0.6279724168736319,0.22448979591836735,0
13,49,637,128,115,0.5989780803838335,0.3875703280783532,0.2653061224489796,0
10,70,700,129,119,0.8099359995369545,0.8690715703712865,0.14285714285714285,0
17,117,1989,128,111,0.7660736407937857,0.6270963210389213,0.1452991452991453,0
14,52,728,130,116,0.6948666032408146,0.7065003486949274,0.2692307692307692,0
12,66,792,126,114,0.9022614982890667,0.7497685172994171,0.18181818181818182,0
16,63,1008,132,116,0.6623356841111709,0.5980185774831484,0.25396825396825395,0
16,59,944,130,114,0.7109669666596046,0.5090544004780084,0.2711864406779661,0
11,67,737,126,115,0.7698331655930194,0.8148197476799641,0.16417910447761194,0
10,70,700,124,114,0.6717693476772485,0.4682189688471965,0.14285714285714285,0
12,64,768,121,109,0.8890798931037672,0.4274547410336863,0.1875,0
12,76,912,125,113,0.8346513677305492,0.5906854638504221,0.15789473684210525,0
27,97,2619,104,77,0.8368254021690562,0.6389088214606087,0.27835051546391754,0
15,99,1485,129,114,0.6955717223539967,0.61324448253512,0.15151515151515152,0
12,69,828,127,115,0.8892088626232434,0.8727302166695495,0.17391304347826086,0
12,59,708,127,115,0.9063524170886219,0.5873689710987179,0.2033898305084746,0
13,90,1170,125,112,1.129322564531482,0.9235336974869168,0.14444444444444443,0
11,75,825,125,114,0.8947273069374878,0.8543911820606032,0.14666666666666667,0
13,70,910,125,112,0.9628680713858674,0.974326671290383,0.18571428571428572,0
13,70,910,125,112,0.9628680713858674,0.974326671290383,0.18571428571428572,0
87,208,18096,116,29,0.7879873450614329,0.5686615013081759,0.4182692307692308,0
14,70,980,125,111,0.7713875612773282,0.6474567415156172,0.2,0
74,157,11618,105,31,0.7288321017369518,0.397641643402518,0.4713375796178344,0
35,87,3045,121,86,0.814308450480285,0.3785901662295114,0.40229885057471265,0
14,95,1330,128,114,0.8922239167318692,0.7574256651924514,0.14736842105263157,0
16,107,1712,130,114,0.8851968548386514,0.6802402211709526,0.14953271028037382,0
16,92,1472,129,113,1.0400580783056026,0.955102743432122,0.17391304347826086,0
12,54,648,127,115,0.8721150848880478,1.055962912554758,0.2222222222222222,0
16,113,1808,129,113,0.9718123820405061,0.8569523358263836,0.1415929203539823,0
13,81,1053,127,114,0.8556802731997603,0.8665126233734279,0.16049382716049382,0
15,97,1455,127,112,0.8483088069871314,0.6618904572513495,0.15463917525773196,0
13,50,650,129,116,0.7065532541127928,0.6206018384798577,0.26,0
11,69,759,125,114,0.9760450036008803,0.7923618566758378,0.15942028985507245,0
13,87,1131,126,113,0.8962810643463229,0.7836080944440278,0.14942528735632185,0
16,73,1168,131,115,0.7003220583229539,0.6849963889775522,0.2191780821917808,0
14,75,1050,128,114,0.9503233681712309,0.8367675321445843,0.18666666666666668,0
14,60,840,128,114,0.7623579576720397,0.6915324883603203,0.23333333333333334,0
13,79,1027,123,110,0.9326024006354459,0.7180176897789412,0.16455696202531644,0
12,60,720,128,116,0.9302756411743899,1.0177562041738035,0.2,0
73,146,10658,104,31,0.7945140045018385,0.5446648952910678,0.5,0
14,95,1330,124,110,1.011150207664308,0.8938743345401292,0.14736842105263157,0
12,77,924,126,114,0.8955753424181265,0.8826778234123488,0.15584415584415584,0
20,95,1900,125,105,0.7487104815557188,0.5285534326778223,0.21052631578947367,0
18,124,2232,129,111,0.8006454553896069,0.6662625425634419,0.14516129032258066,0
14,74,1036,128,114,0.8860736284453018,0.7916201535004327,0.1891891891891892,0
12,66,792,126,114,0.8536462458992171,0.7541858036776187,0.18181818181818182,0
15,80,1200,128,113,0.8623931783862036,0.7991302249737877,0.1875,0
35,71,2485,103,68,0.7000183332185804,0.43305189869203764,0.49295774647887325,1
23,68,1564,164,141,0.9546862525106257,0.3660844050891876,0.3382352941176471,1
15,70,1050,130,115,0.8258395076396268,0.8575197930914062,0.21428571428571427,0
13,56,728,125,112,0.8035719299719893,0.7652605299157489,0.23214285714285715,0
22,44,968,112,90,0.6537989990500841,0.4411531259990064,0.5,0
10,64,640,127,117,0.7852914211322364,0.6484270826899422,0.15625,0
35,37,1295,121,86,1.2290742177072447,0.0,0.9459459459459459,0
11,62,682,127,116,0.7802315411428169,0.7864433059444685,0.1774193548387097,0
21,84,1764,132,111,0.8231511511174144,0.7822482694029101,0.25,0
10,65,650,124,114,0.7613778432493499,0.7206983333690284,0.15384615384615385,0
25,34,850,133,108,0.5280306693134608,0.3287864318818732,0.7352941176470589,0
21,92,1932,107,86,0.46526954941884235,0.13983165954350021,0.22826086956521738,0
16,49,784,106,90,0.537849698771463,0.258783485549124,0.32653061224489793,0
31,143,4433,109,78,0.5333258214786544,0.20593635028363674,0.21678321678321677,0
23,159,3657,129,106,0.7173958392279517,0.6546092036149123,0.14465408805031446,0
17,96,1632,149,132,0.6509485960730721,0.13502896621103994,0.17708333333333334,0
16,105,1680,105,89,0.6045567293152938,0.5227402210157894,0.1523809523809524,0
19,49,931,119,100,0.5497226838811035,0.24311735433784673,0.3877551020408163,0
18,48,864,105,87,0.5643620506023476,0.25464588751065,0.375,0
28,80,2240,114,86,0.5614805658313974,0.2140916484666527,0.35,0
32,217,6944,129,97,0.5662722139865282,0.4358005881690699,0.14746543778801843,0
11,57,627,126,115,0.6315872531182515,0.6210368420709943,0.19298245614035087,0
12,57,684,127,115,0.5968619141192748,0.5818339928724542,0.21052631578947367,0
27,107,2889,116,89,0.6552231591404436,0.364306691908576,0.2523364485981308,0
11,66,726,128,117,0.6779651807861977,0.6328992524956507,0.16666666666666666,0
25,77,1925,105,80,0.5505919603925085,0.23638780994087752,0.3246753246753247,0
14,60,840,135,121,0.7034144378393867,0.19092685849491303,0.23333333333333334,0
16,41,656,111,95,0.617128559695993,0.3054272621338029,0.3902439024390244,0
34,148,5032,114,80,0.6769781011067899,0.34629338400861864,0.22972972972972974,0
24,130,3120,101,77,0.5824502293484831,0.322510408272977,0.18461538461538463,0
12,62,744,123,111,0.6259665993523558,0.4301178795918559,0.1935483870967742,0
32,155,4960,104,72,0.6578572968375871,0.49676888659980095,0.2064516129032258,0
18,51,918,149,131,0.7248065562295344,0.0,0.35294117647058826,0
12,53,636,128,116,0.6837146382000031,0.5531391654817747,0.22641509433962265,0
34,581,19754,103,69,0.5896919852678002,0.29713260319619383,0.058519793459552494,0
53,142,7526,124,71,0.614506569193346,0.36657982928079125,0.3732394366197183,0
13,61,793,128,115,0.729614530313354,0.8207661788493175,0.21311475409836064,0
31,100,3100,102,71,0.6200882316068242,0.4555867682705415,0.31,0
17,55,935,115,98,0.6752962353040102,0.18369217109029287,0.3090909090909091,0
20,121,2420,102,82,0.5776896634961176,0.3060130741788421,0.1652892561983471,0
